source_id,publisher,source_title,source_type,source_url,market,publication_date,retrieved_at,authority_class,source_status,notes,source_url_canonical,source_version_label,source_observed_at,source_content_hash,source_snapshot_ref
SRC-000001,Renault Türkiye,Yeni Renault Clio,OFFICIAL_WEB,https://www.renault.com.tr/hybrid-araclar/yeni-clio.html,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Current product page; TCe 115 explicitly stated.,https://www.renault.com.tr/hybrid-araclar/yeni-clio.html,observed 2026-08-14,46248,8ffab05c6aad77ca34aec31f9e3d43b3a514920d51c53e877a4118139a2d2a98,data/cars/vehicle_evidence/source_snapshots/SRC-000001/2026-08-14/source.html
SRC-000002,Fiat Türkiye,Egea Dizel Ağustos 2026 Kampanyası,OFFICIAL_WEB,https://www.fiat.com.tr/kampanyalar/satis/boyle-firsat-olsa-olsa-egeada-olur,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Confirms 2026 Egea Sedan 1.6 M.Jet 130 HP campaign.,https://www.fiat.com.tr/kampanyalar/satis/boyle-firsat-olsa-olsa-egeada-olur,observed 2026-08-14,46248,c32ba4e7c9036d3a28a2f70d6e39420784b160eee5b5681c4cd95fd26a2f97d1,data/cars/vehicle_evidence/source_snapshots/SRC-000002/2026-08-14/source.html
SRC-000003,Toyota Türkiye,Toyota Corolla Sedan,OFFICIAL_WEB,https://www.toyota.com.tr/araba-modelleri/corolla-sedan,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Current Corolla Hybrid official model page.,https://www.toyota.com.tr/araba-modelleri/corolla-sedan,observed 2026-08-14,46248,8c68b701de7172ca59c98eab8e2fa100c5771bfa5db54e8add8834b77ba3a800,data/cars/vehicle_evidence/source_snapshots/SRC-000003/2026-08-14/source.html
SRC-000004,Suzuki Türkiye,Vitara Hibrit,OFFICIAL_WEB,https://www.suzuki.com.tr/tr/otomobil/vitara-hibrit.html,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Current product page.,https://www.suzuki.com.tr/tr/otomobil/vitara-hibrit.html,observed 2026-08-14,46248,55d452c83fafca9cfcf84fb8f47dded0a5cb28a36ab479ba9744f8843f6f81ce,data/cars/vehicle_evidence/source_snapshots/SRC-000004/2026-08-14/source.html
SRC-000005,Suzuki Türkiye,Suzuki Otomobil Güncel Fiyat Listesi,OFFICIAL_PRICE_LIST,https://www.suzuki.com.tr/tr/otomobil/fiyat-listesi.html,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,2026 configurations including MHEV/AllGrip.,https://www.suzuki.com.tr/tr/otomobil/fiyat-listesi.html,observed 2026-08-14,46248,29f0c3d37d267140178525ad82fab7f338657922c7694180e21a67cfd691a88d,data/cars/vehicle_evidence/source_snapshots/SRC-000005/2026-08-14/source.html
SRC-000006,BYD Türkiye,BYD SEAL U DM-i,OFFICIAL_TECH_SPEC,https://www.bydauto.com.tr/sealu-dmi,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Structured technical values on official product page.,https://www.bydauto.com.tr/sealu-dmi,observed 2026-08-14,46248,0e7022002dba1244d7a37e8d7b60fb8d09b6b843718170a5d7dceac55a22b68a,data/cars/vehicle_evidence/source_snapshots/SRC-000006/2026-08-14/source.html
SRC-000007,Kia Türkiye,2026 Model Fiyat Listesi,OFFICIAL_PRICE_LIST,https://kia.com.tr/satis-merkezi/fiyat-listesi,TR,46247,46248,A1_OFFICIAL_MARKET,ACTIVE,Official list valid from 13 Aug 2026; EV3 configurations listed.,https://kia.com.tr/satis-merkezi/fiyat-listesi,published-46247,46248,bf151bf0ef1bfd59850c54fdeb5f634f62919fd2f1f8e02e8912a7881e80aa6d,data/cars/vehicle_evidence/source_snapshots/SRC-000007/2026-08-14/source.html
SRC-000008,Togg,T10X,OFFICIAL_TECH_SPEC,https://www.togg.com.tr/t10x,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Official T10X product/technical highlights.,https://www.togg.com.tr/t10x,observed 2026-08-14,46248,a5f17325c70e5658decbcf7c3b81ffb559edfffb66b219744e7422336c3a64d9,data/cars/vehicle_evidence/source_snapshots/SRC-000008/2026-08-14/source.html
SRC-000009,Dacia Türkiye,Yeni Sandero Stepway,OFFICIAL_WEB,https://www.dacia.com.tr/modeller/yeni-sandero-stepway-bi1-ph2.html,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,"Official model page, Eco-G 120 EDC and equipment context.",https://www.dacia.com.tr/modeller/yeni-sandero-stepway-bi1-ph2.html,observed 2026-08-14,46248,1686ee2f9218bb5a358b29bbb18ddc2c84e2d23658b32ab94432c9042c284798,data/cars/vehicle_evidence/source_snapshots/SRC-000009/2026-08-14/source.html
SRC-000010,Dacia Türkiye,Ağustos 2026 Satış Kampanyaları,OFFICIAL_WEB,https://www.dacia.com.tr/kampanyalar/satis-kampanyalari.html,TR,,46248,A1_OFFICIAL_MARKET,ACTIVE,Confirms MY2026 Sandero Stepway Expression Eco-G 120 auto.,https://www.dacia.com.tr/kampanyalar/satis-kampanyalari.html,observed 2026-08-14,46248,d6a332c302c1b5bd7e2a8744990524a1fcd3fcf79af7776bebd382bd1323f944,data/cars/vehicle_evidence/source_snapshots/SRC-000010/2026-08-14/source.html
